ID,YEAR,CAUSE_NAME,STATE,DEATHS,AADR
51,2003,Unintentional Injuries,Arizona,2697,49.79
52,2003,All Causes,Arkansas,27918,948.2
53,2003,Alzheimer's disease,Arkansas,552,18.62
54,2003,Cancer,Arkansas,6119,205.11
55,2003,Chronic liver disease and cirrhosis,Arkansas,220,7.51
56,2003,Chronic lower respiratory disease,Arkansas,1500,50.11
57,2003,Diabetes,Arkansas,884,29.93
58,2003,Diseases of Heart,Arkansas,7786,262.47
59,2003,Essential hypertension and hypertensive renal disease,Arkansas,209,7.1
60,2003,Homicide,Arkansas,195,7.29
61,2003,Influenza and pneumonia,Arkansas,921,31.12
62,2003,Kidney Disease,Arkansas,526,17.82
63,2003,Parkinson's disease,Arkansas,150,5.06
64,2003,Pneumonitis due to solids and liquids,Arkansas,223,7.55
65,2003,Septicemia,Arkansas,501,17
66,2003,Stroke,Arkansas,2107,71.08
67,2003,Suicide,Arkansas,374,13.61
68,2003,Unintentional Injuries,Arkansas,1304,46.88
69,2003,All Causes,California,239371,768.4
70,2003,Alzheimer's disease,California,6585,22.02
71,2003,Cancer,California,54319,174
72,2003,Chronic liver disease and cirrhosis,California,3833,11.62
73,2003,Chronic lower respiratory disease,California,13448,44.24
74,2003,Diabetes,California,7093,22.82
75,2003,Diseases of Heart,California,68864,225.07
76,2003,Essential hypertension and hypertensive renal disease,California,2586,8.48
77,2003,Homicide,California,2487,6.85
78,2003,Influenza and pneumonia,California,8185,27.02
79,2003,Kidney Disease,California,2334,7.6
80,2003,Parkinson's disease,California,1803,5.99
81,2003,Pneumonitis due to solids and liquids,California,934,3.08
82,2003,Septicemia,California,978,3.14
83,2003,Stroke,California,17692,58.23
84,2003,Suicide,California,3397,9.89
85,2003,Unintentional Injuries,California,10471,30.69
86,2003,All Causes,Colorado,29506,792
87,2003,Alzheimer's disease,Colorado,899,26.54
88,2003,Cancer,Colorado,6417,169.39
89,2003,Chronic liver disease and cirrhosis,Colorado,408,9.44
90,2003,Chronic lower respiratory disease,Colorado,1931,54.01
91,2003,Diabetes,Colorado,708,19.07
92,2003,Diseases of Heart,Colorado,6499,180.28
93,2003,Essential hypertension and hypertensive renal disease,Colorado,175,4.98
94,2003,Homicide,Colorado,192,4.11
95,2003,Influenza and pneumonia,Colorado,810,22.99
96,2003,Kidney Disease,Colorado,409,11.46
97,2003,Parkinson's disease,Colorado,279,8.19
98,2003,Pneumonitis due to solids and liquids,Colorado,245,7.1
99,2003,Septicemia,Colorado,319,8.6
100,2003,Stroke,Colorado,1813,51.53
101,2003,Suicide,Colorado,728,16.11
102,2003,Unintentional Injuries,Colorado,1806,42.37
103,2003,All Causes,Connecticut,29627,739.7
104,2003,Alzheimer's disease,Connecticut,612,14.19
105,2003,Cancer,Connecticut,7131,183.02
106,2003,Chronic liver disease and cirrhosis,Connecticut,319,8.38
107,2003,Chronic lower respiratory disease,Connecticut,1445,36.09
108,2003,Diabetes,Connecticut,665,16.77
109,2003,Diseases of Heart,Connecticut,8389,204.06
110,2003,Essential hypertension and hypertensive renal disease,Connecticut,291,7.1
111,2003,Homicide,Connecticut,107,3.13
112,2003,Influenza and pneumonia,Connecticut,860,20.46
113,2003,Kidney Disease,Connecticut,567,13.97
114,2003,Parkinson's disease,Connecticut,225,5.46
115,2003,Pneumonitis due to solids and liquids,Connecticut,349,8.39
116,2003,Septicemia,Connecticut,630,15.76
117,2003,Stroke,Connecticut,1828,44.02
118,2003,Suicide,Connecticut,272,7.53
119,2003,Unintentional Injuries,Connecticut,1112,30.22
120,2003,All Causes,Delaware,7070,852.9
121,2003,Alzheimer's disease,Delaware,147,18.6
122,2003,Cancer,Delaware,1719,201.54
123,2003,Chronic liver disease and cirrhosis,Delaware,102,11.9
124,2003,Chronic lower respiratory disease,Delaware,339,40.55
125,2003,Diabetes,Delaware,239,28.35
126,2003,Diseases of Heart,Delaware,2027,247.15
127,2003,Essential hypertension and hypertensive renal disease,Delaware,54,6.74
128,2003,Homicide,Delaware,25,3.07
129,2003,Influenza and pneumonia,Delaware,127,15.84
130,2003,Kidney Disease,Delaware,130,15.64
131,2003,Parkinson's disease,Delaware,40,4.96
132,2003,Pneumonitis due to solids and liquids,Delaware,78,9.71
133,2003,Septicemia,Delaware,130,15.66
134,2003,Stroke,Delaware,407,49.91
135,2003,Suicide,Delaware,94,11.35
136,2003,Unintentional Injuries,Delaware,287,34.85
137,2003,All Causes,District of Columbia,5573,993
138,2003,Alzheimer's disease,District of Columbia,95,17.04
139,2003,Cancer,District of Columbia,1122,200.89
140,2003,Chronic liver disease and cirrhosis,District of Columbia,50,8.69
141,2003,Chronic lower respiratory disease,District of Columbia,137,24.67
142,2003,Diabetes,District of Columbia,179,32.36
143,2003,Diseases of Heart,District of Columbia,1630,291.86
144,2003,Essential hypertension and hypertensive renal disease,District of Columbia,44,7.78
145,2003,Homicide,District of Columbia,194,30.63
146,2003,Influenza and pneumonia,District of Columbia,87,15.61
147,2003,Kidney Disease,District of Columbia,81,14.51
148,2003,Parkinson's disease,District of Columbia,24,4.33
149,2003,Pneumonitis due to solids and liquids,District of Columbia,37,6.76
150,2003,Septicemia,District of Columbia,109,19.53
151,2003,Stroke,District of Columbia,257,46.01
152,2003,Suicide,District of Columbia,36,6.14
153,2003,Unintentional Injuries,District of Columbia,233,40.84
154,2003,All Causes,Florida,168657,786.7
155,2003,Alzheimer's disease,Florida,4316,18.91
156,2003,Cancer,Florida,39404,181.72
157,2003,Chronic liver disease and cirrhosis,Florida,2245,11.33
158,2003,Chronic lower respiratory disease,Florida,9087,40.4
159,2003,Diabetes,Florida,4762,21.91
160,2003,Diseases of Heart,Florida,48141,217.31
161,2003,Essential hypertension and hypertensive renal disease,Florida,1560,7
162,2003,Homicide,Florida,1004,6.12
163,2003,Influenza and pneumonia,Florida,2996,13.59
164,2003,Kidney Disease,Florida,2265,10.24
165,2003,Parkinson's disease,Florida,1382,6.01
166,2003,Pneumonitis due to solids and liquids,Florida,1121,4.98
167,2003,Septicemia,Florida,1906,8.74
168,2003,Stroke,Florida,9899,44.44
169,2003,Suicide,Florida,2297,12.84
170,2003,Unintentional Injuries,Florida,7919,44.18
171,2003,All Causes,Georgia,66478,956.8
172,2003,Alzheimer's disease,Georgia,1630,26.87
173,2003,Cancer,Georgia,14032,196.29
174,2003,Chronic liver disease and cirrhosis,Georgia,680,8.51
175,2003,Chronic lower respiratory disease,Georgia,3254,48.72
176,2003,Diabetes,Georgia,1717,24.44
177,2003,Diseases of Heart,Georgia,17188,255.22
178,2003,Essential hypertension and hypertensive renal disease,Georgia,898,13.23
179,2003,Homicide,Georgia,736,8.33
180,2003,Influenza and pneumonia,Georgia,1687,26.25
181,2003,Kidney Disease,Georgia,1471,21.89
182,2003,Parkinson's disease,Georgia,346,5.54
183,2003,Pneumonitis due to solids and liquids,Georgia,502,7.92
184,2003,Septicemia,Georgia,1342,19.74
185,2003,Stroke,Georgia,4301,65.57
186,2003,Suicide,Georgia,972,11.62
187,2003,Unintentional Injuries,Georgia,3528,44.23
188,2003,All Causes,Hawaii,8978,667.1
189,2003,Alzheimer's disease,Hawaii,161,11.94
190,2003,Cancer,Hawaii,2133,157.4
191,2003,Chronic liver disease and cirrhosis,Hawaii,78,5.72
192,2003,Chronic lower respiratory disease,Hawaii,287,21.12
193,2003,Diabetes,Hawaii,202,14.79
194,2003,Diseases of Heart,Hawaii,2461,182.22
195,2003,Essential hypertension and hypertensive renal disease,Hawaii,85,6.35
196,2003,Homicide,Hawaii,20,1.62
197,2003,Influenza and pneumonia,Hawaii,237,17.58
198,2003,Kidney Disease,Hawaii,123,9.05
199,2003,Parkinson's disease,Hawaii,103,7.57
200,2003,Pneumonitis due to solids and liquids,Hawaii,117,8.62
201,2003,Septicemia,Hawaii,146,10.86
202,2003,Stroke,Hawaii,752,55.68
203,2003,Suicide,Hawaii,131,10.18
204,2003,Unintentional Injuries,Hawaii,415,31.89
205,2003,All Causes,Idaho,10380,812.8
206,2003,Alzheimer's disease,Idaho,355,28.29
207,2003,Cancer,Idaho,2321,181.82
208,2003,Chronic liver disease and cirrhosis,Idaho,127,9.51
209,2003,Chronic lower respiratory disease,Idaho,601,47.86
210,2003,Diabetes,Idaho,358,28.26
211,2003,Diseases of Heart,Idaho,2566,202.07
212,2003,Essential hypertension and hypertensive renal disease,Idaho,84,6.68
213,2003,Homicide,Idaho,33,2.41
214,2003,Influenza and pneumonia,Idaho,334,26.41
215,2003,Kidney Disease,Idaho,97,7.67
216,2003,Parkinson's disease,Idaho,99,7.97
217,2003,Pneumonitis due to solids and liquids,Idaho,63,5
218,2003,Septicemia,Idaho,60,4.66
219,2003,Stroke,Idaho,762,60.53
220,2003,Suicide,Idaho,217,16.38
221,2003,Unintentional Injuries,Idaho,605,45.63
222,2003,All Causes,Illinois,105325,846.6
223,2003,Alzheimer's disease,Illinois,2626,20.86
224,2003,Cancer,Illinois,24464,198.24
225,2003,Chronic liver disease and cirrhosis,Illinois,1041,8.38
226,2003,Chronic lower respiratory disease,Illinois,4858,39.49
227,2003,Diabetes,Illinois,3044,24.61
228,2003,Diseases of Heart,Illinois,29816,239.18
229,2003,Essential hypertension and hypertensive renal disease,Illinois,906,7.24
230,2003,Homicide,Illinois,966,7.6
231,2003,Influenza and pneumonia,Illinois,2875,22.92
232,2003,Kidney Disease,Illinois,2297,18.51
233,2003,Parkinson's disease,Illinois,790,6.37
234,2003,Pneumonitis due to solids and liquids,Illinois,842,6.72
235,2003,Septicemia,Illinois,2057,16.53
236,2003,Stroke,Illinois,6909,55.37
237,2003,Suicide,Illinois,1011,8.04
238,2003,Unintentional Injuries,Illinois,3942,31.45
239,2003,All Causes,Indiana,55968,902.2
240,2003,Alzheimer's disease,Indiana,1515,24.57
241,2003,Cancer,Indiana,12933,207.5
242,2003,Chronic liver disease and cirrhosis,Indiana,479,7.6
243,2003,Chronic lower respiratory disease,Indiana,3264,52.77
244,2003,Diabetes,Indiana,1731,27.84
245,2003,Diseases of Heart,Indiana,15467,249.41
246,2003,Essential hypertension and hypertensive renal disease,Indiana,407,6.57
247,2003,Homicide,Indiana,347,5.62
248,2003,Influenza and pneumonia,Indiana,1365,22.05
249,2003,Kidney Disease,Indiana,1235,20.01
250,2003,Parkinson's disease,Indiana,469,7.63
251,2003,Pneumonitis due to solids and liquids,Indiana,451,7.28
252,2003,Septicemia,Indiana,851,13.69
253,2003,Stroke,Indiana,3627,58.65
254,2003,Suicide,Indiana,736,11.89
255,2003,Unintentional Injuries,Indiana,2196,35.39
256,2003,All Causes,Iowa,28062,776.2
257,2003,Alzheimer's disease,Iowa,887,22.09
258,2003,Cancer,Iowa,6469,187.84
259,2003,Chronic liver disease and cirrhosis,Iowa,200,6.3
260,2003,Chronic lower respiratory disease,Iowa,1674,46.57
261,2003,Diabetes,Iowa,727,20.18
262,2003,Diseases of Heart,Iowa,7840,210.85
263,2003,Essential hypertension and hypertensive renal disease,Iowa,234,5.91
264,2003,Homicide,Iowa,50,1.79
265,2003,Influenza and pneumonia,Iowa,1032,26.25
266,2003,Kidney Disease,Iowa,241,6.46
267,2003,Parkinson's disease,Iowa,237,6.26
268,2003,Pneumonitis due to solids and liquids,Iowa,259,6.75
269,2003,Septicemia,Iowa,210,5.91
270,2003,Stroke,Iowa,2081,54.51
271,2003,Suicide,Iowa,352,11.87
272,2003,Unintentional Injuries,Iowa,1164,35.37
273,2003,All Causes,Kansas,24593,829.5
274,2003,Alzheimer's disease,Kansas,781,24.74
275,2003,Cancer,Kansas,5332,185.94
276,2003,Chronic liver disease and cirrhosis,Kansas,204,7.35
277,2003,Chronic lower respiratory disease,Kansas,1443,49.48
278,2003,Diabetes,Kansas,676,23.19
279,2003,Diseases of Heart,Kansas,6491,214.7
280,2003,Essential hypertension and hypertensive renal disease,Kansas,179,5.78
281,2003,Homicide,Kansas,121,4.45
282,2003,Influenza and pneumonia,Kansas,694,22.25
283,2003,Kidney Disease,Kansas,531,17.59
284,2003,Parkinson's disease,Kansas,239,7.8
285,2003,Pneumonitis due to solids and liquids,Kansas,195,6.3
286,2003,Septicemia,Kansas,302,10.34
287,2003,Stroke,Kansas,1758,57.47
288,2003,Suicide,Kansas,347,12.79
289,2003,Unintentional Injuries,Kansas,1089,38.55
290,2003,All Causes,Kentucky,40241,986.4
291,2003,Alzheimer's disease,Kentucky,1072,27.67
292,2003,Cancer,Kentucky,9378,223.67
293,2003,Chronic liver disease and cirrhosis,Kentucky,353,8.28
294,2003,Chronic lower respiratory disease,Kentucky,2391,58.44
295,2003,Diabetes,Kentucky,1296,31.56
296,2003,Diseases of Heart,Kentucky,11319,279.24
297,2003,Essential hypertension and hypertensive renal disease,Kentucky,266,6.72
298,2003,Homicide,Kentucky,193,4.71
299,2003,Influenza and pneumonia,Kentucky,1033,26.05
300,2003,Kidney Disease,Kentucky,838,20.8
301,2003,Parkinson's disease,Kentucky,263,6.63
302,2003,Pneumonitis due to solids and liquids,Kentucky,300,7.61
303,2003,Septicemia,Kentucky,565,13.88
304,2003,Stroke,Kentucky,2442,61.34
305,2003,Suicide,Kentucky,567,13.56
306,2003,Unintentional Injuries,Kentucky,2270,55.23
307,2003,All Causes,Louisiana,42719,1013.7
308,2003,Alzheimer's disease,Louisiana,1184,30
309,2003,Cancer,Louisiana,9533,221.81
310,2003,Chronic liver disease and cirrhosis,Louisiana,356,7.99
311,2003,Chronic lower respiratory disease,Louisiana,1731,41.37
312,2003,Diabetes,Louisiana,1740,40.94
313,2003,Diseases of Heart,Louisiana,11540,277.51
314,2003,Essential hypertension and hypertensive renal disease,Louisiana,356,8.59
315,2003,Homicide,Louisiana,602,13.23
316,2003,Influenza and pneumonia,Louisiana,915,22.68
317,2003,Kidney Disease,Louisiana,1065,25.45
318,2003,Parkinson's disease,Louisiana,272,6.67
319,2003,Pneumonitis due to solids and liquids,Louisiana,236,5.89
320,2003,Septicemia,Louisiana,816,19.62
321,2003,Stroke,Louisiana,2526,61.4
322,2003,Suicide,Louisiana,461,10.3
323,2003,Unintentional Injuries,Louisiana,2208,49.77
324,2003,All Causes,Maine,12540,829.8
325,2003,Alzheimer's disease,Maine,467,30.2
326,2003,Cancer,Maine,3120,205.44
327,2003,Chronic liver disease and cirrhosis,Maine,126,8.25
328,2003,Chronic lower respiratory disease,Maine,782,51.32
329,2003,Diabetes,Maine,398,26.22
330,2003,Diseases of Heart,Maine,3106,203.03
331,2003,Essential hypertension and hypertensive renal disease,Maine,87,5.64
332,2003,Homicide,Maine,17,*
333,2003,Influenza and pneumonia,Maine,327,21.42
334,2003,Kidney Disease,Maine,265,17.35
335,2003,Parkinson's disease,Maine,98,6.41
336,2003,Pneumonitis due to solids and liquids,Maine,97,6.31
337,2003,Septicemia,Maine,136,8.9
338,2003,Stroke,Maine,802,52.23
339,2003,Suicide,Maine,137,9.97
340,2003,Unintentional Injuries,Maine,516,37.97
341,2003,All Causes,Maryland,44499,864.5
342,2003,Alzheimer's disease,Maryland,865,17.8
343,2003,Cancer,Maryland,10292,196.37
344,2003,Chronic liver disease and cirrhosis,Maryland,436,7.87
345,2003,Chronic lower respiratory disease,Maryland,1986,39.45
346,2003,Diabetes,Maryland,1454,28.18
347,2003,Diseases of Heart,Maryland,12164,239.81
348,2003,Essential hypertension and hypertensive renal disease,Maryland,378,7.54
349,2003,Homicide,Maryland,557,10.3
350,2003,Influenza and pneumonia,Maryland,1175,23.56
351,2003,Kidney Disease,Maryland,583,11.45
352,2003,Parkinson's disease,Maryland,323,6.56
353,2003,Pneumonitis due to solids and liquids,Maryland,417,8.43
354,2003,Septicemia,Maryland,1098,21.44
355,2003,Stroke,Maryland,2734,54.69
356,2003,Suicide,Maryland,491,8.9
357,2003,Unintentional Injuries,Maryland,1432,26.73
358,2003,All Causes,Massachusetts,56291,788.7
359,2003,Alzheimer's disease,Massachusetts,1609,21.28
360,2003,Cancer,Massachusetts,13551,194.58
361,2003,Chronic liver disease and cirrhosis,Massachusetts,569,8.33
362,2003,Chronic lower respiratory disease,Massachusetts,2765,38.88
363,2003,Diabetes,Massachusetts,1424,20.2
364,2003,Diseases of Heart,Massachusetts,14634,201.54
365,2003,Essential hypertension and hypertensive renal disease,Massachusetts,475,6.59
366,2003,Homicide,Massachusetts,140,2.18
367,2003,Influenza and pneumonia,Massachusetts,2019,27.04
368,2003,Kidney Disease,Massachusetts,1286,17.78
369,2003,Parkinson's disease,Massachusetts,420,5.77
370,2003,Pneumonitis due to solids and liquids,Massachusetts,568,7.66
371,2003,Septicemia,Massachusetts,989,13.81
372,2003,Stroke,Massachusetts,3407,46.45
373,2003,Suicide,Massachusetts,433,6.54
374,2003,Unintentional Injuries,Massachusetts,1421,20.73
375,2003,All Causes,Michigan,86728,860.5
376,2003,Alzheimer's disease,Michigan,2133,21.37
377,2003,Cancer,Michigan,19713,194.11
378,2003,Chronic liver disease and cirrhosis,Michigan,998,9.66
379,2003,Chronic lower respiratory disease,Michigan,4472,44.57
380,2003,Diabetes,Michigan,2640,26.16
381,2003,Diseases of Heart,Michigan,26010,257.99
382,2003,Essential hypertension and hypertensive renal disease,Michigan,780,7.78
383,2003,Homicide,Michigan,650,6.57
384,2003,Influenza and pneumonia,Michigan,1941,19.37
385,2003,Kidney Disease,Michigan,1665,16.6
386,2003,Parkinson's disease,Michigan,673,6.72
387,2003,Pneumonitis due to solids and liquids,Michigan,516,5.14
388,2003,Septicemia,Michigan,929,9.24
389,2003,Stroke,Michigan,5470,54.46
390,2003,Suicide,Michigan,1029,10.24
391,2003,Unintentional Injuries,Michigan,3324,33.03
392,2003,All Causes,Minnesota,37620,720.9
393,2003,Alzheimer's disease,Minnesota,1243,22.71
394,2003,Cancer,Minnesota,9183,181.74
395,2003,Chronic liver disease and cirrhosis,Minnesota,341,6.69
396,2003,Chronic lower respiratory disease,Minnesota,1832,35.84
397,2003,Diabetes,Minnesota,1276,24.85
398,2003,Diseases of Heart,Minnesota,8144,154.11
399,2003,Essential hypertension and hypertensive renal disease,Minnesota,486,9.14
400,2003,Homicide,Minnesota,130,2.54
401,2003,Influenza and pneumonia,Minnesota,858,15.74
402,2003,Kidney Disease,Minnesota,654,12.34
403,2003,Parkinson's disease,Minnesota,399,7.64
404,2003,Pneumonitis due to solids and liquids,Minnesota,200,3.72
405,2003,Septicemia,Minnesota,287,5.52
406,2003,Stroke,Minnesota,2550,47.87
407,2003,Suicide,Minnesota,497,9.77
408,2003,Unintentional Injuries,Minnesota,1912,36.69
409,2003,All Causes,Mississippi,28489,1031.6
410,2003,Alzheimer's disease,Mississippi,583,22
411,2003,Cancer,Mississippi,5960,212.23
412,2003,Chronic liver disease and cirrhosis,Mississippi,220,7.68
413,2003,Chronic lower respiratory disease,Mississippi,1394,50.69
414,2003,Diabetes,Mississippi,680,24.41
415,2003,Diseases of Heart,Mississippi,8683,317.13
416,2003,Essential hypertension and hypertensive renal disease,Mississippi,372,13.44
417,2003,Homicide,Mississippi,304,10.66
418,2003,Influenza and pneumonia,Mississippi,758,28.14
419,2003,Kidney Disease,Mississippi,676,24.75
420,2003,Parkinson's disease,Mississippi,127,4.75
421,2003,Pneumonitis due to solids and liquids,Mississippi,217,8.04
422,2003,Septicemia,Mississippi,537,19.4
423,2003,Stroke,Mississippi,1736,63.64
424,2003,Suicide,Mississippi,336,11.92
425,2003,Unintentional Injuries,Mississippi,1656,58.78
426,2003,All Causes,Missouri,55582,907
427,2003,Alzheimer's disease,Missouri,1293,20.6
428,2003,Cancer,Missouri,12354,202.05
429,2003,Chronic liver disease and cirrhosis,Missouri,429,7.16
430,2003,Chronic lower respiratory disease,Missouri,2939,47.88
431,2003,Diabetes,Missouri,1666,27.14
432,2003,Diseases of Heart,Missouri,16410,264.89
433,2003,Essential hypertension and hypertensive renal disease,Missouri,424,6.82
434,2003,Homicide,Missouri,323,5.75
435,2003,Influenza and pneumonia,Missouri,1604,25.74
436,2003,Kidney Disease,Missouri,1099,17.75
437,2003,Parkinson's disease,Missouri,384,6.19
438,2003,Pneumonitis due to solids and liquids,Missouri,465,7.48
439,2003,Septicemia,Missouri,723,11.78
440,2003,Stroke,Missouri,3580,57.72
441,2003,Suicide,Missouri,679,11.83
442,2003,Unintentional Injuries,Missouri,2786,47.56
443,2003,All Causes,Montana,8467,837.6
444,2003,Alzheimer's disease,Montana,235,22.72
445,2003,Cancer,Montana,1847,181.73
446,2003,Chronic liver disease and cirrhosis,Montana,111,11.05
447,2003,Chronic lower respiratory disease,Montana,588,58.25
448,2003,Diabetes,Montana,261,25.75
449,2003,Diseases of Heart,Montana,1984,193.34
450,2003,Essential hypertension and hypertensive renal disease,Montana,45,4.33
451,2003,Homicide,Montana,37,4.23
452,2003,Influenza and pneumonia,Montana,256,24.77
453,2003,Kidney Disease,Montana,101,9.86
454,2003,Parkinson's disease,Montana,76,7.46
455,2003,Pneumonitis due to solids and liquids,Montana,64,6.24
456,2003,Septicemia,Montana,87,8.6
457,2003,Stroke,Montana,576,56.12
458,2003,Suicide,Montana,180,19.45
459,2003,Unintentional Injuries,Montana,518,54.8
460,2003,All Causes,Nebraska,15465,798.2
461,2003,Alzheimer's disease,Nebraska,461,22.21
462,2003,Cancer,Nebraska,3339,179
463,2003,Chronic liver disease and cirrhosis,Nebraska,102,5.77
464,2003,Chronic lower respiratory disease,Nebraska,894,46.97
465,2003,Diabetes,Nebraska,407,21.08
466,2003,Diseases of Heart,Nebraska,3954,199.55
467,2003,Essential hypertension and hypertensive renal disease,Nebraska,189,9.27
468,2003,Homicide,Nebraska,63,3.64
469,2003,Influenza and pneumonia,Nebraska,435,21.05
470,2003,Kidney Disease,Nebraska,302,15.32
471,2003,Parkinson's disease,Nebraska,146,7.39
472,2003,Pneumonitis due to solids and liquids,Nebraska,126,6.19
473,2003,Septicemia,Nebraska,151,7.82
474,2003,Stroke,Nebraska,1094,54.66
475,2003,Suicide,Nebraska,176,10.16
476,2003,Unintentional Injuries,Nebraska,696,37.96
477,2003,All Causes,Nevada,17858,927.3
478,2003,Alzheimer's disease,Nevada,309,19.64
479,2003,Cancer,Nevada,4138,200.18
480,2003,Chronic liver disease and cirrhosis,Nevada,272,11.66
481,2003,Chronic lower respiratory disease,Nevada,1173,62.87
482,2003,Diabetes,Nevada,301,14.96
483,2003,Diseases of Heart,Nevada,4599,244
484,2003,Essential hypertension and hypertensive renal disease,Nevada,131,7.34
485,2003,Homicide,Nevada,183,8.03
486,2003,Influenza and pneumonia,Nevada,410,23.33
487,2003,Kidney Disease,Nevada,439,23.56
488,2003,Parkinson's disease,Nevada,81,4.67
489,2003,Pneumonitis due to solids and liquids,Nevada,99,5.92
490,2003,Septicemia,Nevada,423,22.26
491,2003,Stroke,Nevada,1028,57.81
492,2003,Suicide,Nevada,434,19.86
493,2003,Unintentional Injuries,Nevada,911,41.86
494,2003,All Causes,New Hampshire,9708,767.3
495,2003,Alzheimer's disease,New Hampshire,286,23.02
496,2003,Cancer,New Hampshire,2485,193.7
497,2003,Chronic liver disease and cirrhosis,New Hampshire,106,7.91
498,2003,Chronic lower respiratory disease,New Hampshire,531,42.76
499,2003,Diabetes,New Hampshire,300,23.62
500,2003,Diseases of Heart,New Hampshire,2725,216.69
501,2003,Essential hypertension and hypertensive renal disease,New Hampshire,76,6.14
502,2003,Homicide,New Hampshire,20,1.59
503,2003,Influenza and pneumonia,New Hampshire,204,16.4
504,2003,Kidney Disease,New Hampshire,150,11.98
505,2003,Parkinson's disease,New Hampshire,83,6.7
506,2003,Pneumonitis due to solids and liquids,New Hampshire,41,3.28
507,2003,Septicemia,New Hampshire,93,7.35
508,2003,Stroke,New Hampshire,536,42.99
509,2003,Suicide,New Hampshire,158,12.03
510,2003,Unintentional Injuries,New Hampshire,405,31.52
511,2003,All Causes,New Jersey,73689,807.8
512,2003,Alzheimer's disease,New Jersey,1636,17.65
513,2003,Cancer,New Jersey,17957,197.27
514,2003,Chronic liver disease and cirrhosis,New Jersey,774,8.51
515,2003,Chronic lower respiratory disease,New Jersey,2910,31.93
516,2003,Diabetes,New Jersey,2484,27.2
517,2003,Diseases of Heart,New Jersey,22043,239.87
518,2003,Essential hypertension and hypertensive renal disease,New Jersey,501,5.44
519,2003,Homicide,New Jersey,423,5.06
520,2003,Influenza and pneumonia,New Jersey,1823,19.81
521,2003,Kidney Disease,New Jersey,1696,18.51
522,2003,Parkinson's disease,New Jersey,526,5.73
523,2003,Pneumonitis due to solids and liquids,New Jersey,564,6.12
524,2003,Septicemia,New Jersey,1904,20.8
525,2003,Stroke,New Jersey,3966,43.12
526,2003,Suicide,New Jersey,588,6.66
527,2003,Unintentional Injuries,New Jersey,2371,27.02
528,2003,All Causes,New Mexico,14805,832.1
529,2003,Alzheimer's disease,New Mexico,360,21.55
530,2003,Cancer,New Mexico,3103,170.1
531,2003,Chronic liver disease and cirrhosis,New Mexico,326,17.29
532,2003,Chronic lower respiratory disease,New Mexico,936,53.34
533,2003,Diabetes,New Mexico,599,33.16
534,2003,Diseases of Heart,New Mexico,3402,194.78
535,2003,Essential hypertension and hypertensive renal disease,New Mexico,99,5.8
536,2003,Homicide,New Mexico,164,8.8
537,2003,Influenza and pneumonia,New Mexico,369,21.61
