YEAR,CAUSE_NAME,STATE,DEATHS,AADR
2003,Stroke,Minnesota,2550,47.87
2003,Suicide,Minnesota,497,9.77
2003,Unintentional Injuries,Minnesota,1912,36.69
2003,All Causes,Mississippi,28489,1031.6
2003,Alzheimer's disease,Mississippi,583,22
2003,Cancer,Mississippi,5960,212.23
2003,Chronic liver disease and cirrhosis,Mississippi,220,7.68
2003,Chronic lower respiratory disease,Mississippi,1394,50.69
2003,Diabetes,Mississippi,680,24.41
2003,Diseases of Heart,Mississippi,8683,317.13
2003,Essential hypertension and hypertensive renal disease,Mississippi,372,13.44
2003,Homicide,Mississippi,304,10.66
2003,Influenza and pneumonia,Mississippi,758,28.14
2003,Kidney Disease,Mississippi,676,24.75
2003,Parkinson's disease,Mississippi,127,4.75
2003,Pneumonitis due to solids and liquids,Mississippi,217,8.04
2003,Septicemia,Mississippi,537,19.4
2003,Stroke,Mississippi,1736,63.64
2003,Suicide,Mississippi,336,11.92
2003,Unintentional Injuries,Mississippi,1656,58.78
2003,All Causes,Missouri,55582,907
2003,Alzheimer's disease,Missouri,1293,20.6
2003,Cancer,Missouri,12354,202.05
2003,Chronic liver disease and cirrhosis,Missouri,429,7.16
2003,Chronic lower respiratory disease,Missouri,2939,47.88
2003,Diabetes,Missouri,1666,27.14
2003,Diseases of Heart,Missouri,16410,264.89
2003,Essential hypertension and hypertensive renal disease,Missouri,424,6.82
2003,Homicide,Missouri,323,5.75
2003,Influenza and pneumonia,Missouri,1604,25.74
2003,Kidney Disease,Missouri,1099,17.75
2003,Parkinson's disease,Missouri,384,6.19
2003,Pneumonitis due to solids and liquids,Missouri,465,7.48
2003,Septicemia,Missouri,723,11.78
2003,Stroke,Missouri,3580,57.72
2003,Suicide,Missouri,679,11.83
2003,Unintentional Injuries,Missouri,2786,47.56
2003,All Causes,Montana,8467,837.6
2003,Alzheimer's disease,Montana,235,22.72
2003,Cancer,Montana,1847,181.73
2003,Chronic liver disease and cirrhosis,Montana,111,11.05
2003,Chronic lower respiratory disease,Montana,588,58.25
2003,Diabetes,Montana,261,25.75
2003,Diseases of Heart,Montana,1984,193.34
2003,Essential hypertension and hypertensive renal disease,Montana,45,4.33
2003,Homicide,Montana,37,4.23
2003,Influenza and pneumonia,Montana,256,24.77
2003,Kidney Disease,Montana,101,9.86
2003,Parkinson's disease,Montana,76,7.46
2003,Pneumonitis due to solids and liquids,Montana,64,6.24
2003,Septicemia,Montana,87,8.6
2003,Stroke,Montana,576,56.12
2003,Suicide,Montana,180,19.45
2003,Unintentional Injuries,Montana,518,54.8
2003,All Causes,Nebraska,15465,798.2
2003,Alzheimer's disease,Nebraska,461,22.21
2003,Cancer,Nebraska,3339,179
2003,Chronic liver disease and cirrhosis,Nebraska,102,5.77
2003,Chronic lower respiratory disease,Nebraska,894,46.97
2003,Diabetes,Nebraska,407,21.08
2003,Diseases of Heart,Nebraska,3954,199.55
2003,Essential hypertension and hypertensive renal disease,Nebraska,189,9.27
2003,Homicide,Nebraska,63,3.64
2003,Influenza and pneumonia,Nebraska,435,21.05
2003,Kidney Disease,Nebraska,302,15.32
2003,Parkinson's disease,Nebraska,146,7.39
2003,Pneumonitis due to solids and liquids,Nebraska,126,6.19
2003,Septicemia,Nebraska,151,7.82
2003,Stroke,Nebraska,1094,54.66
2003,Suicide,Nebraska,176,10.16
2003,Unintentional Injuries,Nebraska,696,37.96
2003,All Causes,Nevada,17858,927.3
2003,Alzheimer's disease,Nevada,309,19.64
2003,Cancer,Nevada,4138,200.18
2003,Chronic liver disease and cirrhosis,Nevada,272,11.66
2003,Chronic lower respiratory disease,Nevada,1173,62.87
2003,Diabetes,Nevada,301,14.96
2003,Diseases of Heart,Nevada,4599,244
2003,Essential hypertension and hypertensive renal disease,Nevada,131,7.34
2003,Homicide,Nevada,183,8.03
2003,Influenza and pneumonia,Nevada,410,23.33
2003,Kidney Disease,Nevada,439,23.56
2003,Parkinson's disease,Nevada,81,4.67
2003,Pneumonitis due to solids and liquids,Nevada,99,5.92
2003,Septicemia,Nevada,423,22.26
2003,Stroke,Nevada,1028,57.81
2003,Suicide,Nevada,434,19.86
2003,Unintentional Injuries,Nevada,911,41.86
2003,All Causes,New Hampshire,9708,767.3
2003,Alzheimer's disease,New Hampshire,286,23.02
2003,Cancer,New Hampshire,2485,193.7
2003,Chronic liver disease and cirrhosis,New Hampshire,106,7.91
2003,Chronic lower respiratory disease,New Hampshire,531,42.76
2003,Diabetes,New Hampshire,300,23.62
2003,Diseases of Heart,New Hampshire,2725,216.69
2003,Essential hypertension and hypertensive renal disease,New Hampshire,76,6.14
2003,Homicide,New Hampshire,20,1.59
2003,Influenza and pneumonia,New Hampshire,204,16.4
2003,Kidney Disease,New Hampshire,150,11.98
2003,Parkinson's disease,New Hampshire,83,6.7
2003,Pneumonitis due to solids and liquids,New Hampshire,41,3.28
2003,Septicemia,New Hampshire,93,7.35
2003,Stroke,New Hampshire,536,42.99
2003,Suicide,New Hampshire,158,12.03
2003,Unintentional Injuries,New Hampshire,405,31.52
2003,All Causes,New Jersey,73689,807.8
2003,Alzheimer's disease,New Jersey,1636,17.65
2003,Cancer,New Jersey,17957,197.27
2003,Chronic liver disease and cirrhosis,New Jersey,774,8.51
2003,Chronic lower respiratory disease,New Jersey,2910,31.93
2003,Diabetes,New Jersey,2484,27.2
2003,Diseases of Heart,New Jersey,22043,239.87
2003,Essential hypertension and hypertensive renal disease,New Jersey,501,5.44
2003,Homicide,New Jersey,423,5.06
2003,Influenza and pneumonia,New Jersey,1823,19.81
2003,Kidney Disease,New Jersey,1696,18.51
2003,Parkinson's disease,New Jersey,526,5.73
2003,Pneumonitis due to solids and liquids,New Jersey,564,6.12
2003,Septicemia,New Jersey,1904,20.8
2003,Stroke,New Jersey,3966,43.12
2003,Suicide,New Jersey,588,6.66
2003,Unintentional Injuries,New Jersey,2371,27.02
2003,All Causes,New Mexico,14805,832.1
2003,Alzheimer's disease,New Mexico,360,21.55
2003,Cancer,New Mexico,3103,170.1
2003,Chronic liver disease and cirrhosis,New Mexico,326,17.29
2003,Chronic lower respiratory disease,New Mexico,936,53.34
2003,Diabetes,New Mexico,599,33.16
2003,Diseases of Heart,New Mexico,3402,194.78
2003,Essential hypertension and hypertensive renal disease,New Mexico,99,5.8
2003,Homicide,New Mexico,164,8.8
2003,Influenza and pneumonia,New Mexico,369,21.61
2003,Kidney Disease,New Mexico,217,12.31
2003,Parkinson's disease,New Mexico,152,8.9
2003,Pneumonitis due to solids and liquids,New Mexico,54,3.17
2003,Septicemia,New Mexico,140,7.89
2003,Stroke,New Mexico,770,44.62
2003,Suicide,New Mexico,343,18.61
2003,Unintentional Injuries,New Mexico,1227,67.32
2003,All Causes,New York,155877,771.1
2003,Alzheimer's disease,New York,1866,9.02
2003,Cancer,New York,36238,180.18
2003,Chronic liver disease and cirrhosis,New York,1374,6.84
2003,Chronic lower respiratory disease,New York,6709,33.27
2003,Diabetes,New York,4227,20.96
2003,Diseases of Heart,New York,55276,270.91
2003,Essential hypertension and hypertensive renal disease,New York,1472,7.22
2003,Homicide,New York,963,5.01
2003,Influenza and pneumonia,New York,5335,26.09
2003,Kidney Disease,New York,2415,11.93
2003,Parkinson's disease,New York,734,3.61
2003,Pneumonitis due to solids and liquids,New York,669,3.27
2003,Septicemia,New York,2114,10.45
2003,Stroke,New York,7281,35.72
2003,Suicide,New York,1169,5.94
2003,Unintentional Injuries,New York,4708,23.87
2003,All Causes,North Carolina,73459,909
2003,Alzheimer's disease,North Carolina,2145,28.31
2003,Cancer,North Carolina,16145,193.87
2003,Chronic liver disease and cirrhosis,North Carolina,749,8.65
2003,Chronic lower respiratory disease,North Carolina,3887,48.21
2003,Diabetes,North Carolina,2388,29.06
2003,Diseases of Heart,North Carolina,18674,233.33
2003,Essential hypertension and hypertensive renal disease,North Carolina,702,8.91
2003,Homicide,North Carolina,598,7.02
2003,Influenza and pneumonia,North Carolina,1990,25.64
2003,Kidney Disease,North Carolina,1387,17.33
2003,Parkinson's disease,North Carolina,458,5.89
2003,Pneumonitis due to solids and liquids,North Carolina,723,9.35
2003,Septicemia,North Carolina,1216,15.13
2003,Stroke,North Carolina,5203,66.39
2003,Suicide,North Carolina,955,11.21
2003,Unintentional Injuries,North Carolina,3835,46.31
2003,All Causes,North Dakota,6090,776.1
2003,Alzheimer's disease,North Dakota,336,37.5
2003,Cancer,North Dakota,1334,179.18
2003,Chronic liver disease and cirrhosis,North Dakota,78,11.51
2003,Chronic lower respiratory disease,North Dakota,302,39.09
